類別,名稱,地址,行政區,經度座標,緯度座標,裝置容量-瓩
學校,臺北市內湖高級工業職業學校,114臺北市內湖區內湖路1段520號,內湖區,121.5753,25.07942,481.44
學校,臺北市百齡高級中學,111臺北市士林區承德路4段177號,士林區,121.523,25.08706,498.96
學校,臺北市立關渡國民中學,112臺北市北投區知行路212號,北投區,121.4676223,25.1197183,19.845
學校,臺北市太平國民小學,103台北市大同區延平北路二段239號,大同區,121.5114,25.06138,54.6
學校,臺北市中山國民小學,104臺北市中山區民權東路一段69號,中山區,121.5264,25.06305,97.5
學校,臺北市雨聲國民小學,111台北市士林區至誠路一段62巷70號,士林區,121.5353,25.10266,99.775
學校,臺北市信義區光復國民小學,110臺北市信義區光復南路271號,信義區,121.5578014,25.0401432,99.775
學校,臺北市蘭州國民中學,103台北市大同區大龍街187巷1號,大同區,121.5167,25.06932,495.3
學校,臺北市松山區西松國民小學,臺北市松山區三民路5號,松山區,121.5628868,25.05294327,95.225
學校,臺北市博嘉實驗國民小學,臺北市文山區木柵路4段159巷14之1號,文山區,121.5757911,25.00196588,99.45
學校,臺北市文山區景美國民小學,臺北市文山區景文街108號、142巷2號,文山區,121.5407,24.9895,152.1
學校,臺北市立仁愛國民中學,臺北市大安區仁愛路4段130號,大安區,121.5508,25.0374,37.7
,,,,,,
,,,,,,
