,面積,行政區,地址,latlng,color,radius
92,164.0,大安區 ,臺北市大安區金山南路二段185 巷,"[121.5274236, 25.0283306]",#097b00,7.225151993843567
93,568.0,萬華區 ,臺北市萬華區西園路二段 ,"[121.49519, 25.0282005]",#246e00,13.446189622059965
94,213.6,中山區 ,台北市中山區安東街 ,"[121.5421743, 25.0454526]",#0c7a00,8.245665024050982
95,283.0,士林區 ,臺北市士林區通河東街一段,"[121.5161459, 25.0849055]",#117700,9.491137855389772
96,1022.0,中正區 ,臺北市中正區廈門街147巷,"[121.5190169, 25.02167]",#435e00,18.03642713177513
97,381.0,中正區 ,臺北市中正區羅斯福路三段240 巷,"[121.5298376, 25.0176051]",#187400,11.012541334134653
98,505.0,松山區 ,臺北市信義區光復南路46巷,"[121.557559, 25.0462347]",#207000,12.678584010953838
99,648.0,中正區 ,臺北市中正區漢口街一段 ,"[121.5120827, 25.0451748]",#2a6b00,14.361922094451577
100,202.0,中正區 ,臺北市中正區南昌路二段 ,"[121.5219207, 25.026157]",#0b7a00,8.018640596081465
101,372.0,北投區 ,臺北市北投區翠嶺路 ,"[121.5067207, 25.1427502]",#177400,10.881694613449236
102,532.0,大安區 ,臺北市大安區復興南路一段135 巷,"[121.5452269, 25.0425846]",#226f00,13.013103375051497
103,275.0,中正區 ,臺北市中正區杭州南路二段,"[121.5224602, 25.0318036]",#107800,9.356025796273888
104,674.0,中正區 ,臺北市中正區新生南路一段132 巷,"[121.5318946, 25.0370197]",#2c6a00,14.647213499088313
105,1150.0,文山區 ,臺北市文山區興德路 ,"[121.5571627, 25.0032237]",#4c5a00,19.13259964331453
106,386.33,士林區 ,臺北市士林區中庸一路14巷12 弄,"[121.5478968, 25.1335553]",#187400,11.089303780192147
107,509.27,士林區 ,臺北市士林區中山北路七段14 巷,"[121.5333661, 25.1199089]",#207000,12.732072719585727
108,397.0,大同區 ,臺北市大同區民權西路245巷,"[121.5103613, 25.0639042]",#197300,11.24139781410501
109,1056.0,大同區 ,臺北市大同區重慶北路二段,"[121.5137056, 25.0588131]",#465d00,18.333991376950163
110,1122.0,中正區 ,臺北市中正區信義路二段 ,"[121.5285039, 25.033835]",#4a5b00,18.898245746582223
111,231.0,松山區 ,臺北市松山區南京東路五段291巷29弄,"[121.5669135, 25.0528445]",#0d7900,8.574939283076915
112,676.0,萬華區 ,臺北市萬華區貴陽街二段,"[121.5027651, 25.0400228]",#2c6a00,14.668929172241665
113,431.0,信義區 ,臺北市信義區景雲街 ,"[121.5754039, 25.0184221]",#1b7200,11.71288013023329
114,916.0,士林區 ,臺北市士林區中山北路六段186 巷,"[121.5255472, 25.1077218]",#3c6200,17.075475271404667
115,278.53,文山區 ,臺北市文山區興隆路四段1巷,"[121.5601691, 24.9916509]",#117700,9.41588299623414
116,332.74,中正區 ,臺北市中正區南陽街 ,"[121.5161215, 25.0450971]",#147600,10.291473729684904
