dist,type,name,location,lng,lat,org,seat,a,b,c,d,dis,par
士林區,綜合零售賣場,統一超商臺北市天北門市,臺北市士林區天母西路39-1號1樓,121.527473,25.118694,統一超商股份有限公司臺北市天北門市,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市前港門市,臺北市士林區後港街98之1號2號1樓,121.521524,25.085661,統一超商股份有限公司臺北市前港門市,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市誠義門市,臺北市士林區忠誠路一段126號,121.528778,25.105707,統一超商股份有限公司臺北市誠義門市,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市至善天下門市,臺北市士林區至善路二段264號1樓,121.550917,25.100386,統一超商股份有限公司臺北市至善天下門市,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市新天強門市,臺北市士林區克強路11及11-1號1樓,121.524425,25.108746,統一超商股份有限公司臺北市新天強門市,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市天裕門市,臺北市士林區中山北路七段156號1樓,121.532666,25.123967,統一超商股份有限公司臺北市天裕店,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市天越門市,臺北市士林區天母東路50巷25號,121.533244,25.116888,統一超商股份有限公司臺北市天越店,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市天美門市,臺北市士林區天母東路8巷98號,121.530156,25.114305,統一超商股份有限公司臺北市天美店,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市至誠門市,臺北市士林區至誠路二段31號1樓,121.529372,25.101769,統一超商股份有限公司臺北市至誠門市,1,0,1,0,0,0,0
士林區,綜合零售賣場,全家便利商店臺北市致昇店,臺北市士林區雨聲街36號1樓,121.529197,25.102082,全家便利商店股份有限公司臺北市致昇門市,1,0,1,0,0,0,0
士林區,綜合零售賣場,全家便利商店臺北市大東店,臺北市士林區大東路63號,121.525484,25.090091,全家便利商店股份有限公司,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市福通門市,臺北市士林區大南路400號,121.515812,25.089547,統一超商股份有限公司,1,0,1,0,0,0,0
